SOLARIZED	HEX	16/8	TERMCOL	XTERM	HEX	L	*A	*B	R	G	B	H	S	B
---------	-------	----	---------	-----	-------	---	---	---	---	---	---	---	---	---
base03	#002b36	8/4	brblack	234	#1c1c1c	15	-12	-12	0	43	54	193	100	21
base02	#073642	0/4	black	235	#262626	20	-12	-12	7	54	66	192	90	26
base_25	#15414b	10/7	brgreen	240	#585858	25	-11	-11	21	65	75	191	72	29
base_30	#274c55	11/7	bryellow	241	#626262	30	-10	-10	39	76	85	192	54	33
base_35	#375760	10/7	brgreen	240	#585858	35	-09	-09	55	87	96	193	43	38
base_40	#47636a	11/7	bryellow	241	#626262	40	-08	-08	71	99	106	192	33	42
base01	#586e75	10/7	brgreen	240	#585858	45	-07	-07	88	110	117	194	25	46
base00	#657b83	11/7	bryellow	241	#626262	50	-07	-07	101	123	131	195	23	51
base0	#839496	12/6	brblue	244	#808080	60	-06	-03	131	148	150	186	13	59
base1	#93a1a1	14/4	brcyan	245	#8a8a8a	65	-05	-02	147	161	161	180	9	63
base_70	#a3adab	12/6	brblue	244	#808080	70	-04	0	163	173	171	168	6	68
base_75	#b4bab5	14/4	brcyan	245	#8a8a8a	75	-03	2	180	186	181	130	3	73
base_80	#c6c7bf	12/6	brblue	244	#808080	80	-02	4	198	199	191	68	4	78
base_85	#d6d5c9	14/4	brcyan	245	#8a8a8a	85	-01	6	214	213	201	55	6	84
base_90	#e8e3d3	14/4	brcyan	245	#8a8a8a	90	-00	8	232	227	211	46	9	91
base2	#eee8d5	7/7	white	254	#e4e4e4	92	-00	10	238	232	213	44	11	93
base3	#fdf6e3	15/7	brwhite	230	#ffffd7	97	00	10	253	246	227	44	10	99
base_98	#fef9e6	15/7	brwhite	230	#ffffd7	98	00	10	254	249	230	48	09	100
yellow	#b58900	3/3	yellow	136	#af8700	60	10	65	181	137	0	45	100	71
orange	#cb4b16	9/3	brred	166	#d75f00	50	50	55	203	75	22	18	89	80
red	#dc322f	1/1	red	160	#d70000	50	65	45	220	50	47	1	79	86
magenta	#d33682	5/5	magenta	125	#af005f	50	65	-05	211	54	130	331	74	83
violet	#6c71c4	13/5	brmagenta	61	#5f5faf	50	15	-45	108	113	196	237	45	77
blue	#268bd2	4/4	blue	33	#0087ff	55	-10	-45	38	139	210	205	82	82
cyan	#2aa198	6/6	cyan	37	#00afaf	60	-35	-05	42	161	152	175	74	63
green	#859900	2/2	green	64	#5f8700	60	-20	65	133	153	0	68	100	60
